10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,0,,,,,,,,10,10,,,,,,,,,10,10,10,10,21,,,,30,46,46,46,10
10,,,,,,,,,,,,,,,,30,40,,,,,,,,,,,46,46,40,10
10,10,10,10,10,10,10,,,,,,,10,,,,,,10,10,10,10,10,,,,30,46,46,46,10
10,10,10,10,10,10,10,10,10,20,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,,,,,,10,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,45,,,10,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,,10,,,,,,,,,10,,,,30,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,,10,,,,,,10,10,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10
10,45,40,45,10,10,,10,,,,,10,10,10,10,,,40,10,10,10,10,10,10,10,10,10,10,10,10,10
10,46,35,46,10,10,,10,10,,,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,46,46,46,10,10,,10,,,,,10,10,10,10,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,46,46,46,10,,,,,,,,10,46,46,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,,,,10,,,,,,,,10,46,46,,,10,,,,,,,,,,,,,46,10
10,,,,21,,,,,,,,10,10,10,10,,10,,,,,,,,,,10,10,,46,10
10,,,,,,,,,,,,,,,,,21,,,10,,,,10,10,,30,10,,46,10
10,,,,10,,35,,,,,,,,,30,,,,,10,30,,10,10,40,,,10,,46,10
10,,,,10,,,,,,,,,,,,,10,,,10,10,,,,,,,,,46,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,46,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,10,10,10,20,,10,10,10,10,10,10,10,10,10,10,10,10
10,10,,,,,,35,10,,,,,,,,,,,,10,,,,,10,,40,10,46,46,10
10,,,,,,,,,,,,,,10,,,,,,,,,,,,,10,10,46,46,10
10,20,,10,10,10,10,10,40,10,10,10,10,10,10,10,10,10,10,10,30,10,10,10,10,10,10,10,10,10,,10
10,20,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,10
10,,,,,,,10,10,46,46,46,46,46,46,10,10,46,46,46,46,46,46,10,10,46,46,46,46,46,,10
10,,,,,,,10,10,,,,,,,10,10,,,,,,,10,10,,,,,,,10
10,,,10,10,,,,,,,10,10,,,,,,,10,10,,,,,,,10,10,,,10
10,,,10,10,,,,,,,10,10,,,,,,,10,10,,,,,,,10,10,,,10
10,,,,,,,10,10,,,,,,,10,10,,,,,,,10,10,,,,,,,10
10,,,,,,,10,10,,,,,,,10,10,,,,,,,10,10,,,,,,,10
10,,,30,10,,,,,,,30,10,,,,,,,30,10,,,,,,,30,10,,1,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
